participant,activity,trial_id,acc_corr_xy,acc_corr_xz,acc_corr_yz,acc_mag_energy,acc_mag_fft_energy,acc_mag_iqr,acc_mag_max,acc_mag_mean,acc_mag_min,acc_mag_std,acc_x_energy,acc_x_fft_energy,acc_x_iqr,acc_x_max,acc_x_mean,acc_x_median,acc_x_min,acc_x_rms,acc_x_std,acc_y_energy,acc_y_fft_energy,acc_y_iqr,acc_y_max,acc_y_mean,acc_y_median,acc_y_min,acc_y_rms,acc_y_std,acc_z_energy,acc_z_fft_energy,acc_z_iqr,acc_z_max,acc_z_mean,acc_z_median,acc_z_min,acc_z_rms,acc_z_std,duration_s,grav_corr_xy,grav_corr_xz,grav_corr_yz,grav_mag_energy,grav_mag_fft_energy,grav_mag_iqr,grav_mag_max,grav_mag_mean,grav_mag_min,grav_mag_std,grav_x_energy,grav_x_fft_energy,grav_x_iqr,grav_x_max,grav_x_mean,grav_x_median,grav_x_min,grav_x_rms,grav_x_std,grav_y_energy,grav_y_fft_energy,grav_y_iqr,grav_y_max,grav_y_mean,grav_y_median,grav_y_min,grav_y_rms,grav_y_std,grav_z_energy,grav_z_fft_energy,grav_z_iqr,grav_z_max,grav_z_mean,grav_z_median,grav_z_min,grav_z_rms,grav_z_std,gyro_corr_xy,gyro_corr_xz,gyro_corr_yz,gyro_mag_energy,gyro_mag_fft_energy,gyro_mag_iqr,gyro_mag_max,gyro_mag_mean,gyro_mag_min,gyro_mag_std,gyro_x_energy,gyro_x_fft_energy,gyro_x_iqr,gyro_x_max,gyro_x_mean,gyro_x_median,gyro_x_min,gyro_x_rms,gyro_x_std,gyro_y_energy,gyro_y_fft_energy,gyro_y_iqr,gyro_y_max,gyro_y_mean,gyro_y_median,gyro_y_min,gyro_y_rms,gyro_y_std,gyro_z_energy,gyro_z_fft_energy,gyro_z_iqr,gyro_z_max,gyro_z_mean,gyro_z_median,gyro_z_min,gyro_z_rms,gyro_z_std,n_samples
participant_01,run,participant_01_run_001,0.33763918836309587,0.3520146236063196,-0.32643508803571375,119.20741781412696,111101.93001271035,12.5507645996932,73.97000222051066,15.794653015744558,0.8826690707920258,10.918214955482739,121.36222433584608,113110.11210986871,9.572489637382452,23.739997436620712,0.05125005692115036,1.5051571209493098,-43.14946976810764,11.016571649300907,11.01645243877747,107.61036069628071,100293.3170783653,12.2676891451983,30.60356697839857,0.0013228488722597475,0.8768741338171621,-35.38565769818766,10.373541461150568,10.373541376804775,139.70311619584177,130203.90139484119,10.547621582086247,48.696562599697934,0.012335139381249739,0.06923003109646385,-60.506366222285806,11.819613714140804,11.819607277563911,9.353946044921877,-0.6228003589964282,0.32996329866179175,-0.4737122039840494,1.5622119442679854,1455.9882113134934,1.9677746642409566,6.509047093565256,2.6902701783060854,0.40450111006924977,1.2498847723962339,2.1873731917770853,2038.6412527998236,1.8025826689221383,3.0254081510482163,-0.009096686752468726,0.16845781770025675,-4.617632534361403,1.4790050512040036,1.4789770761499603,1.9963074563640852,1860.5670806077876,1.8122704627646748,4.2161969774704815,-0.0059910601345520955,-0.3486838018757898,-2.8695137778819246,1.4129201496070543,1.412907447911605,4.614905884721449,4301.11217418751,3.10417776088448,5.137978119108659,0.03256380163636122,-0.28144872215341143,-6.123627753816573,2.148479994297937,2.1482332007306493,0.2306830723297055,-0.13830657298498988,0.2021669651756648,16.169759647483712,15070.286982692136,3.7193278381319597,27.437371201021456,5.343668394440041,0.21290967631831373,4.021163966749393,8.08879418686972,7538.790845877967,3.2384665317859738,9.11279323374132,0.02423117598627874,0.19797417365494074,-10.973877322428509,2.844183773380229,2.844080552106378,31.265019456333796,29139.131750428172,4.997406506838008,27.43709784814756,-0.030018377858198504,0.38249994626325856,-17.76284837450801,5.591593740548667,5.591513163387331,5.368178855523832,5003.165774163511,2.81273514914706,8.629556468670993,-0.03272316602730494,-0.07062261567879774,-7.305900793964777,2.317164142031954,2.3169330710065474,934.0
participant_01,run,participant_01_run_002,0.19076472869585767,0.20726012653619225,-0.39662881163041713,120.80420041138544,117663.41497548489,13.257278580990599,72.84081040662339,16.972312423940128,1.5213772805053178,10.991096415343895,144.43482425787062,140679.66681366623,12.715037295810166,26.281992407746195,0.028146380822840406,1.4674607697055178,-50.61467721095923,12.018136980273773,12.018104020929034,111.37379865285432,108478.19400037873,11.168692308630305,40.91043824045441,0.03892270178854326,0.3312845127173776,-36.50656533326939,10.5534503187142,10.553378542099885,153.05176222033177,149072.5732179333,12.88873000516303,47.90651901465752,0.029951639241427543,-0.0412622846280667,-60.58203788479421,12.371445320617354,12.371409063656886,9.764885498046874,-0.6673951341542813,0.21413785014172426,-0.5125018037195528,1.804812305503134,1757.889034752988,2.1021721857097617,6.99048551938199,2.635920549232161,0.23192143937088436,1.343433029779726,1.4976659256920293,1458.728146117813,1.2653661462909667,3.818236326363848,-0.008615018161148326,0.022032414502809,-3.519273359060186,1.2238219413909632,1.2237916185740239,2.2711799933963954,2212.1316405967705,1.665436497078255,4.646258817025302,0.014553378889454346,-0.1740752277638221,-2.974182454298429,1.5071137296944435,1.5070434610177623,4.981346721554521,4851.836810632957,3.5901557091966962,5.074020921919197,0.049099769343140184,-0.1291501997399354,-6.634188735709789,2.2324330916970547,2.2318930802246153,0.35453641325779,-0.06997155619596247,0.28353759552588736,14.203726473648182,13834.444138331764,4.0614467534487275,27.921950483052537,5.384929319330166,0.6166529379862973,3.768783155562042,14.091907784313202,13725.532620351161,3.896967163977814,12.591464045742825,0.0026300353269104303,-0.1218931081737134,-10.514749142103977,3.7539199114257915,3.7539189901106287,23.790433954360868,23171.907046992106,4.959329650805476,27.025515715587503,-0.005498087426617596,0.3885743024552589,-22.18499160789684,4.877546943221175,4.877543844432449,5.318439298016512,5180.165325488673,2.5394734505129297,8.50770376656799,0.01928898877787993,0.0140365198094812,-8.81270173396101,2.306254834814354,2.3061741690549984,975.0
participant_01,run,participant_01_run_003,0.19716146528684847,0.24885771084444236,-0.38334033214158686,118.6794398698898,114169.74426628613,12.488687309325153,66.02633953301437,16.5309179624114,1.031370455181275,10.89400935697642,134.5860087435432,129471.88002333084,10.569207884807467,22.70701255155327,0.0008112334686667255,1.2307167403684576,-48.28371457516187,11.601121040728906,11.60112101236528,118.86071077166402,114344.12706183328,13.588195160543243,35.19626624525388,0.026847800654239008,-0.0560939397398917,-33.6765529796192,10.902358991340543,10.902325934022704,138.49835146061514,133235.5577756008,11.561528117910758,45.78454822076445,0.06997221979968161,0.5762448460145462,-52.03968149315355,11.768740271250735,11.768532256004363,9.6443203125,-0.670613107857742,0.3154988221922522,-0.4821368223134512,2.1375435952449617,2056.3191559945276,2.4741178008892977,7.121138791662236,2.669634991059537,0.3711657995775054,1.46203406090452,2.025956396209246,1948.9721547678134,1.5698105911595985,3.1377059361670816,-0.01633781306835827,0.0668682962824697,-4.838702128942399,1.4234547131345987,1.4233609507813703,2.2737874416353385,2187.3858775538606,1.8071685973685507,4.80401379229292,-0.005887636095104089,-0.2940976346333721,-3.342992927285527,1.5079197942510492,1.507908300141404,4.95777674373404,4769.386370394079,3.261160472956478,5.749691988174771,0.08168482577044647,-0.2882285190176165,-6.7742277588282285,2.2281043859063665,2.226606553420258,0.23189549133726453,-0.08357252149651799,0.2749619448625314,13.018976009800967,12524.268426590368,3.86079008921657,26.782517517451875,5.209400514512383,0.2844923600662749,3.60818181495902,9.027541619618056,8684.504402742297,3.549749496804049,11.045377287029178,0.005353523928713966,-0.0207493693544852,-9.50416015289608,3.004591532943623,3.0045867635363863,25.132038314004287,24177.046928651293,4.449622767852487,26.68021606538553,-0.00882315500458027,0.3309533668978778,-17.855299650314617,5.013194207495708,5.013186443172076,5.996956478260311,5769.07835299563,2.646975931541757,7.951870053313661,-0.013667854166253695,-0.0278296849692933,-7.578088693023527,2.4489065495640747,2.4488684077059575,963.0
participant_01,run,participant_01_run_004,0.2485515236066612,0.24789753853367366,-0.4068702055380102,119.11010238035995,124113.26253519508,13.488995141455742,62.84122179938815,14.566804873257817,0.3629446162261488,10.913757482203824,115.96025928525958,120831.03409826246,8.96508744823035,21.414675940510023,0.057751894763157216,1.3131871467584992,-46.5740572722889,10.768639401828269,10.76848453986259,96.37302037849945,100421.05628220412,9.799598946147702,39.16794968353258,-0.008641347128015757,0.16124939327456972,-40.2428768401636,9.816979935366051,9.816976132114178,118.96477929764637,123961.75499993423,9.691822797247745,38.67624885918673,0.020920810055049498,0.4056778617768762,-47.69721628637518,10.907117720916913,10.907097656922595,10.456114990234376,-0.7115292164698718,0.4566083105680943,-0.5555765101153252,1.6514790166684836,1720.8476012561437,1.9776565380489561,6.333446861978033,2.3797124306362605,0.31398611116949693,1.2850988353696706,1.2292910528042569,1280.9261860099239,1.1583701973602911,2.393078812143897,0.009075665666998536,0.0368087692894738,-3.375881470003904,1.1087711308072354,1.1087339864928183,1.7525814693588275,1826.196595973109,1.4768147402786802,3.8083448978142975,-0.004942258904649653,-0.21923406788720534,-3.136914260858235,1.3238602249791735,1.3238509996819232,4.3322429325081355,4514.213930084487,2.761840204870786,5.269833407283645,0.0169711782626147,-0.4190702894176725,-5.902429735435882,2.0814732651177046,2.0814040771815874,0.2610641632738588,-0.11027364085790853,0.34366707304458693,10.385141322605474,10821.35851398184,3.7880213057303527,25.422705628863397,4.511731617681922,0.31607416776892927,3.2225985357480496,8.888915615593714,9262.284093349715,3.00262907296419,9.378169791956845,0.026517735438516696,0.3171607772402064,-10.873340800777026,2.9815463782887064,2.9814284522010106,17.455310111886956,18188.499972072394,4.053757399294806,24.93256096971053,0.02080886006813693,0.25774541815919094,-16.943452504850224,4.178007075214724,4.177955254892871,4.395252902822381,4579.870334044648,2.3238603994090368,7.18205116531552,-0.01576969698601308,0.04424142533571415,-6.887648739643201,2.096545154811938,2.096485846082053,1044.0
participant_01,run,participant_01_run_005,0.19997982180486965,0.1970623674795524,-0.38735806060362726,154.00183583253389,149690.52280973757,14.7837925080475,84.87523766636485,17.21394416083063,0.6869433804862077,12.409747613571112,171.5109144321965,166709.31185368146,10.52651091757909,26.66706955551541,-0.005121041306418679,1.2232885955026411,-62.14822664002795,13.096218563282324,13.096217562036625,121.72404831689279,118316.27392222409,12.303521471785999,50.18691486574788,0.045655787710722824,0.01977503692146545,-37.07565777314755,11.032956664822185,11.03286219966935,157.0806609947953,152683.04632933816,12.601214722426864,41.573190998574965,0.06304748074745727,0.4494636897762244,-62.62097537036053,12.5333409743621,12.533182396933162,9.754238525390624,-0.5715482513293167,0.37134469151913907,-0.5398930578011212,2.2335906178911156,2171.0592855071077,2.317884200934305,6.545907479830884,2.7538798304900705,0.097971675289689,1.4945201965484158,1.644484060982838,1598.4455926844614,1.4705735805666418,2.951569916491204,0.012268021737470223,0.046422971033325905,-4.272332484218181,1.2824330646627096,1.2823743840949249,2.5952079954146083,2522.5528083652043,1.6907933125808454,5.05897951625465,-0.016606666614969803,-0.19575514344804146,-4.334828060924528,1.6110505196270752,1.6109649268108255,5.574875935472641,5418.802411504172,2.984189857835367,6.118909960321667,0.04950213195042538,-0.1376498104521897,-5.542768969139631,2.3616363811010954,2.3611175183528332,0.2449149629459391,-0.01406831094870158,0.3168414673075653,12.748866093000506,12391.999997641324,4.473277767206019,22.117817702050633,5.223035577868431,0.16433806351080613,3.5705554320022124,13.475404379373087,13098.148309481328,3.634049116225401,15.145552134084296,-0.014772842362946237,-0.1377091781301995,-14.564752532514014,3.6709157735154547,3.670886048268604,20.32374147500864,19754.760065781393,4.457166626900012,21.92319618943873,0.0021130493459906342,0.13296456437019816,-18.52415521553559,4.50818654671545,4.508186051507706,6.229418621737663,6055.020454419648,2.9785754286860193,8.731420857071912,0.01340010117555542,-0.07990556808270916,-9.823797185674676,2.495916301571264,2.4958803300113694,974.0
participant_01,run,participant_01_run_006,0.1957847151024055,0.1950607820411709,-0.4248029490451949,157.2077553056308,144945.7205300549,15.821934418247332,79.61749481164671,18.618981256121724,0.9771452368745339,12.538251684570334,207.65269078046367,191456.00563193683,12.653414873447042,26.373012788102045,0.07897440556325074,1.968238993233858,-55.43013470565776,14.410375697295256,14.410159290599937,124.79426167450617,115060.44432261946,10.454044755882137,52.21438635170186,0.012614435966126504,0.83160736070843,-36.909633743415895,11.171142322900595,11.171135200797911,171.4198685634695,158049.30433485715,14.21396017559123,45.69731041265506,0.03164209656302584,-0.1832078999960251,-63.62031684448418,13.092779299512552,13.092741063790633,9.242886474609374,-0.7199529549186363,0.31791567061127024,-0.5278403900648917,2.2595047540901736,2083.265828622606,2.385072289550346,7.4145174475837745,2.7197106845821986,0.41091720258446374,1.5031649124730704,1.363797391472943,1257.4226709092568,1.5085544926156729,3.393902671670934,-0.02478561980036187,0.0166672076605878,-2.9896871366325417,1.168080356149281,1.1678173622073544,3.1242518420485226,2880.563579593677,1.9165460410125794,5.59518624162585,0.014858215067281489,-0.1269861193426486,-3.804737518161177,1.7676177778590902,1.7675553292750195,5.164375145732777,4761.559473516212,3.1976651811198677,5.3965710038456285,0.055421017336653666,-0.1485085606359038,-6.96401829119368,2.273201846492169,2.272526159526613,0.4414333630531133,-0.008399555559645645,0.3704718270616162,14.226111285695318,13116.490001635419,4.540575213575053,23.91795401089514,5.407337036062493,0.17732440948989006,3.7717517529253324,16.108040063892027,14851.63037185224,3.688773072499672,11.87032949349596,-0.04400976416175331,-0.2953910627012056,-13.521502939177338,4.013723573346027,4.013482286480411,20.35423025358088,18766.62232218929,4.38891202690819,22.05802469488688,0.05089887176081959,0.3151115297957018,-19.677881149873382,4.511853382893487,4.511566274984872,6.998235905066325,6452.381078319535,2.931745463021263,9.964511240970058,0.019269931008879373,-0.0637027450239226,-10.07426467264978,2.6454880901843825,2.6454179074517365,923.0
participant_01,run,participant_01_run_007,0.2433601157635078,0.14029017470503824,-0.4034263264569468,146.618361179467,161573.56682625925,13.689676625500272,71.38158899692687,16.991789950447547,0.594323734430549,12.108606904985685,162.41950049554723,178986.43666520584,10.38333872870438,27.76064009259331,0.004144548983521685,1.4871608789457684,-67.08202165829096,12.744391616426165,12.74439094251064,121.39288956634525,133775.07425944,12.417584759366227,44.22839465981467,0.009197801238067845,0.1165377999512846,-36.519290594852606,11.017847982518767,11.017844143313393,151.52581424945262,166981.58455454014,11.613210462285776,49.78362016010538,0.03131790890515275,-0.0272698391725422,-50.75456587220712,12.309622051910075,12.309582212628202,11.0473193359375,-0.6245667582379207,0.29201370569942764,-0.4988902474078029,2.034442597532667,2241.957585273208,2.4282695521213533,6.766877058177824,2.7467574912825636,0.1607912931328797,1.4263388789248743,1.922155948162984,2118.2175959588953,1.5078466539570432,3.374276006646981,-0.04220831065732379,-0.0458684204368827,-4.820700114491994,1.3870607375495598,1.38641838856926,2.8741664085551806,3167.3339856394114,1.9967993597838167,5.198229372055813,0.02348335503140099,-0.2406547102100002,-3.679413282196282,1.6954993000643532,1.695336665254185,4.77923798027811,5266.724583286388,2.970368588141284,5.365020082347101,0.03501381157769879,-0.1375240184825384,-6.387823491315088,2.1864272106062232,2.1861468341074692,0.32500615764189217,-0.06979623852538275,0.22795709250908738,16.507133044259877,18190.875566887647,4.673633359911338,28.22339622057605,5.551265900078386,0.13037154614988425,4.062897124498709,12.232189276309478,13479.883662374636,3.4861795891035756,12.861588079278588,-0.03692509471430843,0.146360370267853,-12.549376849611392,3.497649602079822,3.497454685383283,28.13999933313506,31010.30475424467,4.7542967417557715,27.395455370524967,0.011756269982205206,0.0479532813720693,-18.004038761140322,5.304727848157618,5.304714821094067,6.949587748670713,7658.4519939515685,2.8482227127472104,9.057790735056685,-0.020201658698294964,-0.1860875720754801,-9.450392274765736,2.636284479278531,2.6362070762120933,1103.0
participant_01,run,participant_01_run_008,0.2947545754685031,0.2486116044520628,-0.26990715769191403,142.19901389559305,155281.45315480456,16.831286456017466,56.5286134592111,14.71331823917722,0.07200247207178243,11.924722801624911,112.28614069213984,122616.56827397078,8.104965881737431,29.43261703612915,-0.00043020403005338226,0.546031291109855,-44.09487811082081,10.596515506392437,10.596515497659588,125.27594453031584,136801.44593893705,9.365163779781732,31.39582259280921,0.04342342161545346,0.6454266101124453,-46.03731214500245,11.192757931978187,11.192673698911973,121.11616904669559,132258.96730846955,9.862968371523435,47.08483826708351,-0.02464660476649112,-0.1453179576409383,-46.72144913766374,11.005306742741073,11.00527914442408,10.947013916015624,-0.7469107113214651,0.3629468086789999,-0.46488232005240276,2.2740026573635297,2483.2129804540054,2.485638840110485,6.705023636320596,2.4379350618901015,0.07135904136722225,1.5079796607923894,2.061374365061323,2251.02269090141,1.7751016098996133,3.455386281902813,-0.03747119800852563,0.0185501642642674,-3.8156323086325017,1.436237604208133,1.4357487123662425,1.6025611105039579,1749.9981975342237,1.2763523989354595,3.843556741862215,0.01915729907965955,-0.081206662624667,-3.1399116912972764,1.2660679731404572,1.2659230270849637,4.54952731736557,4968.087989180489,2.2775827983401666,6.1757185613542775,0.047918030401421785,0.0226993940638606,-6.29085559061493,2.133500282400525,2.1329620993739127,0.32650946701052563,-0.08962760390897323,0.23024903037311178,18.29865882677146,19982.152165213596,4.924106180360263,33.65783648500968,5.16383083064825,0.22400646289927867,4.277693166505922,10.123249438370875,11054.597640128259,2.8281961392068355,12.9614723241094,-0.015032475192725318,-0.008030450425769,-10.126019176382806,3.181740940692893,3.1817054292267337,28.996043002814933,31663.70546368357,4.626587637078126,33.374024882718096,0.01756030540067063,0.2319333174123528,-23.76406555912963,5.384826029421999,5.384797396635729,5.843976138361931,6381.6272849341285,2.332682489880116,9.206541478049598,0.002180628563168288,0.0853102043184511,-7.477149363096248,2.417432707130203,2.417431723619497,1093.0
participant_01,run,participant_01_run_009,0.26752558675840016,0.2136946909111217,-0.3398707596463653,152.12241781302757,140865.52281988275,15.475561025594178,75.79763622112662,17.509920894887692,0.5974374732780426,12.333791704623017,170.71928475266532,158086.24164571456,10.747024809617379,28.329990328600005,0.06367825907272028,1.2566692918366396,-56.95101922515392,13.066114176500365,13.065959006236982,126.44646667964972,117089.56440232403,11.887044696396766,45.07728969799755,0.02950174610886112,0.6076861060778809,-39.19541184319153,11.244880481031055,11.24484178099673,161.54896182816637,149594.51273581505,12.63857951529058,42.07522476740468,-0.010441459129952396,-0.3471523670571023,-66.64808968037103,12.710195547364135,12.71019125852032,9.282831054687499,-0.5068749504041199,0.07616138710963814,-0.39005746651066764,1.9957852353015044,1848.0992785198346,2.0565728470834324,7.0414216575477635,3.047442441269018,0.20505150438826947,1.412722632119095,2.489265849841149,2305.0628593514493,1.7445681952775955,3.460565897383543,-0.059981659357502,0.0510110678636346,-4.940902770993022,1.5788805050732713,1.5777407422771172,2.89713469366062,2682.74984824212,1.8553805155615306,5.322436293964201,0.013392848952527773,-0.3214642562653634,-2.870772403331984,1.7021498353739855,1.7020971457765328,5.885692706136122,5450.157788223327,3.741605459033459,5.989993973918474,0.082584808826689,-0.017026910126292,-6.536514517342892,2.4274498875950172,2.4260446628485886,0.29876184978015424,-0.1515972990992906,0.24344386890182282,19.54415448624237,18097.908114771733,4.713598695360137,28.977515650523536,5.780113628375673,0.39578695178721335,4.420877117297242,14.287748560673467,13230.470563464407,3.7757250692947815,13.66225322306056,0.0009397577561650805,-0.0010839840080887,-14.342692341032048,3.779913946615466,3.7799138297947303,31.391965617294336,29068.993989163704,4.762355214876219,28.488270840849843,-0.03901604960057486,0.3251229322628056,-22.607438484286288,5.602989190550056,5.602853346045596,7.2725855094927265,6734.422018628099,2.9474285424213233,10.568893573357862,0.006724614855703435,0.081407915707207,-8.136746438926941,2.6967815502813135,2.6967731661177448,927.0
participant_01,run,participant_01_run_010,0.20612266753877084,0.09728333925074051,-0.42771537069144316,153.66808147101892,159200.74756883428,16.478568908567656,71.75422283611258,17.794624341871106,0.6226415021392003,12.396293053611588,187.28243377343134,194025.3218786574,12.784885568968487,34.87570077672141,0.012963542079209661,1.4541294706278922,-51.0219190459149,13.685123376384102,13.68511723637877,127.99661206472841,132604.982709172,11.430237899609017,52.72946616673675,0.020923444245144657,0.0473918117728718,-37.293082623528605,11.313578119023507,11.313558770993698,155.03605418828477,160617.94898022758,11.298751200002144,49.15519135352916,0.032110262282061514,-0.8297597325593382,-55.65638985933567,12.451388888683406,12.451347484842143,10.395605224609376,-0.517841605283896,0.20424006803874717,-0.5582844438719916,2.2375521543812793,2318.11265929231,2.296276606451661,6.96840989237472,2.758005158573047,0.41011486690680665,1.4958449633505737,1.5327662628654406,1587.951921068248,1.3491816611222855,3.57409920587955,-0.033923609537229636,-0.021069898118313647,-4.839857052800106,1.2385140589228187,1.238049378201629,2.984070649385725,3091.5086701142286,2.2655500265558453,5.548408822005966,0.014969446862601703,-0.1603824333218305,-3.65610566203438,1.7275111385241768,1.7274462797394672,5.323723778975563,5515.398316571985,2.940914219196409,5.631209906893949,0.04700023666622714,0.037595056267096555,-6.353622010859628,2.3077982583454397,2.307319609194956,0.3678736360535985,-0.09749818644737375,0.23148060689488106,16.031489132984653,16608.77230715017,4.753552752492126,22.11398519230325,5.774852010729428,0.19891919102716638,4.0039342068751145,18.83547415289573,19513.623755085522,4.375113253239072,13.833166867581635,-0.004432493908455409,0.2279752853280806,-14.736895331533018,4.339987764947959,4.339985501461466,23.216594966071256,24052.481714095808,4.782184011089027,19.69344063215405,0.024125893183027727,0.14763358924290976,-17.421965718585408,4.81842059442647,4.8183601947209445,7.327701669520587,7591.527115301242,2.9641452756534683,10.154421646780316,0.005690746758911356,0.0009289833725221,-10.356322443969733,2.7069787686864597,2.7069727869929885,1038.0
